"filename", "language", "JSON", "JavaScript", "Vue", "pip requirements", "Python", "Markdown", "HTML", "XML", "CSS", "comment", "blank", "total"
"e:\StudyingFile\Computer\Database\Vue\DBMS-EnjoyFood-BUAA2022-EnjoyFood_Backend\EnjoyFood_backend\Dish\models.py", "Python", 0, 0, 0, 0, 10, 0, 0, 0, 0, 1, 4, 15
"e:\StudyingFile\Computer\Database\Vue\DBMS-EnjoyFood-BUAA2022-EnjoyFood_Backend\EnjoyFood_backend\Dish\tests.py", "Python", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2, 4
"e:\StudyingFile\Computer\Database\Vue\DBMS-EnjoyFood-BUAA2022-EnjoyFood_Backend\EnjoyFood_backend\Dish\urls.py", "Python", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 3, 14
"e:\StudyingFile\Computer\Database\Vue\DBMS-EnjoyFood-BUAA2022-EnjoyFood_Backend\EnjoyFood_backend\Dish\views.py", "Python", 0, 0, 0, 0, 136, 0, 0, 0, 0, 13, 30, 179
"e:\StudyingFile\Computer\Database\Vue\DBMS-EnjoyFood-BUAA2022-EnjoyFood_Backend\EnjoyFood_backend\EnjoyFood_backend\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\StudyingFile\Computer\Database\Vue\DBMS-EnjoyFood-BUAA2022-EnjoyFood_Backend\EnjoyFood_backend\EnjoyFood_backend\asgi.py", "Python", 0, 0, 0, 0, 4, 0, 0, 0, 0, 8, 5, 17
"e:\StudyingFile\Computer\Database\Vue\DBMS-EnjoyFood-BUAA2022-EnjoyFood_Backend\EnjoyFood_backend\EnjoyFood_backend\settings.py", "Python", 0, 0, 0, 0, 84, 0, 0, 0, 0, 30, 28, 142
"e:\StudyingFile\Computer\Database\Vue\DBMS-EnjoyFood-BUAA2022-EnjoyFood_Backend\EnjoyFood_backend\EnjoyFood_backend\urls.py", "Python", 0, 0, 0, 0, 20, 0, 0, 0, 0, 17, 13, 50
"e:\StudyingFile\Computer\Database\Vue\DBMS-EnjoyFood-BUAA2022-EnjoyFood_Backend\EnjoyFood_backend\EnjoyFood_backend\wsgi.py", "Python", 0, 0, 0, 0, 4, 0, 0, 0, 0, 8, 5, 17
"e:\StudyingFile\Computer\Database\Vue\DBMS-EnjoyFood-BUAA2022-EnjoyFood_Backend\EnjoyFood_backend\ExerArea\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\StudyingFile\Computer\Database\Vue\DBMS-EnjoyFood-BUAA2022-EnjoyFood_Backend\EnjoyFood_backend\ExerArea\admin.py", "Python", 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 6, 12
"e:\StudyingFile\Computer\Database\Vue\DBMS-EnjoyFood-BUAA2022-EnjoyFood_Backend\EnjoyFood_backend\ExerArea\apps.py", "Python", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 3, 7
